Month,Avg. Temp,Min. Temp,Max. Temp,Precipitation,Heating Degrees Days,Cooling Degrees Days
"February, 1980",20.2,9.6,30.8,0.42,1273,
"January, 1980",15.9,4.6,27.2,0.28,1492,
"December, 1979",28.2,15.1,41.4,0.09,1144,
"November, 1979",29.6,19.2,40.1,0.4,1061,
"October, 1979",48.2,34.3,62.2,1.57,531,
"September, 1979",64.4,48.1,80.6,0.6,120,88
"August, 1979",68.5,56.2,80.7,2.52,48,150
"July, 1979",71.3,59.3,83.3,3.78,31,224
"June, 1979",65.8,52.6,79,3.43,94,119
"May, 1979",53,39.9,66.2,1.87,378,13
"April, 1979",42.1,30.5,53.6,1.66,677,
"March, 1979",29.5,19.6,39.4,1.28,1103,
"February, 1979",8.2,-3.4,19.7,0.47,1566,
"January, 1979",2.1,-7.9,12.1,0.77,1934,
"December, 1978",13.9,4.1,23.7,0.34,1559,
"November, 1978",27.6,16.1,39.2,0.68,1083,
"October, 1978",48.6,33.4,63.8,0.25,512,
"September, 1978",65.4,50.1,80.6,0.92,99,111
"August, 1978",70.3,55.8,84.7,2.55,34,190
"July, 1978",71.2,58.4,84.1,3.56,32,223
"June, 1978",66,52.3,79.7,2.61,89,127
"May, 1978",56.9,45,68.8,3.62,288,29
"April, 1978",43.8,34.2,53.4,3.05,628,
"March, 1978",30.2,19.9,40.6,0.33,1072,
"February, 1978",9.4,0.6,18.2,0.77,1548,
"January, 1978",2.7,-7.2,12.6,0.26,1911,
"December, 1977",15.8,7.1,24.4,0.81,1498,
"November, 1977",30,19.9,40.2,1.61,1032,
"October, 1977",47.5,35,60.1,1.97,542,
"September, 1977",60.6,48.1,73.2,3.27,177,50
"August, 1977",66.2,52.8,79.7,2.8,74,113
"July, 1977",74.3,60.3,88.3,2.58,15,305
"June, 1977",69.2,55.8,82.6,2.84,53,175
"May, 1977",63.4,50.4,76.3,2.78,152,101
"April, 1977",50.7,37.3,64,1.59,427,8
"March, 1977",34.5,23.9,45,3.55,947,
"February, 1977",28,17.2,38.9,0.85,1047,
"January, 1977",6.4,-4.8,17.6,0.39,1793,
"December, 1976",19.7,7.6,31.8,0.29,1411,
"November, 1976",27.3,14.2,40.4,0.14,1116,
"October, 1976",43.6,29.7,57.5,0.42,667,
"September, 1976",62.3,45.8,78.8,1.04,155,61
"August, 1976",73.9,58.7,89,1.03,17,273
"July, 1976",74.8,59.8,89.8,1.57,15,318
"June, 1976",68.3,53.4,83.1,2.92,69,160
"May, 1976",56.4,41.3,71.5,1.59,300,25
"April, 1976",48.7,35.8,61.5,1.92,488,4
"March, 1976",31.7,19.4,44,0.68,1012,
"February, 1976",30.5,19.1,41.9,0.59,974,
"January, 1976",16.6,6,27.3,0.58,1502,
"December, 1975",22.4,12.2,32.5,0.47,1332,
"November, 1975",32,20.3,43.7,0.63,978,
"October, 1975",49.4,34.9,63.8,0.76,466,
"September, 1975",57.7,43.1,72.3,0.9,246,24
"August, 1975",70.8,56.9,84.6,2.15,27,212
"July, 1975",76,61.4,90.6,1.16,11,345
"June, 1975",65,53,77,4.2,105,111
"May, 1975",56.7,43.8,69.6,2.13,272,39
"April, 1975",39.3,30.4,48.2,2.59,761,
"March, 1975",25.1,14.4,35.8,2.08,1226,
"February, 1975",14.7,4.6,24.8,0.29,1375,
"January, 1975",18.8,8.2,29.4,0.98,1445,
"December, 1974",24,13,35,0.13,1274,
"November, 1974",33.6,22.3,44.9,0.24,938,
"October, 1974",50.5,35.1,65.8,0.76,446,
"September, 1974",57.2,40.9,73.6,0.44,256,22
"August, 1974",67.1,52.7,81.5,1.73,65,123
"July, 1974",77.4,62.1,92.8,1.84,6,378
"June, 1974",66.1,51.2,81,1.57,93,116
"May, 1974",54.3,41.4,67.2,3.04,338,19
"April, 1974",46.4,33.3,59.4,2.08,549,
"March, 1974",33.8,21.4,46.2,0.79,957,
"February, 1974",25.2,13.2,37.2,0.33,1118,
"January, 1974",15.8,4.3,27.4,0.1,1541,
"December, 1973",18.8,9.6,28.1,0.48,1441,
"November, 1973",30.5,21.5,39.5,0.79,1008,
"October, 1973",51.2,38,64.3,1.68,421,4
"September, 1973",57.5,45.5,69.4,3.18,245,26
"August, 1973",74.7,59.6,89.8,1.38,11,300
"July, 1973",72.3,57.6,87,1.89,27,246
"June, 1973",66.8,52.8,80.8,1.61,77,142
"May, 1973",55.3,40.9,69.8,2.82,322,22
"April, 1973",43.5,31.3,55.7,1.81,639,
"March, 1973",37.7,28.2,47.2,2.31,844,
"February, 1973",24.3,13.5,35.1,0.3,1149,
"January, 1973",19,8.9,29.1,0.41,1430,
"December, 1972",13.3,3.7,23,0.86,1575,
"November, 1972",29.6,21.7,37.5,0.8,1040,
"October, 1972",44.5,31.3,57.6,1.52,626,
"September, 1972",59.8,45,74.6,0.48,204,39
"August, 1972",70.3,56.7,83.8,1.38,35,180
"July, 1972",68.8,55.3,82.3,3.65,53,175
"June, 1972",66.2,53.6,78.7,2.79,85,126
"May, 1972",57.3,46.1,68.5,5.6,270,35
"April, 1972",43.2,31.9,54.4,2.12,650,
"March, 1972",32,20.6,43.4,0.73,1014,
"February, 1972",15.8,4.7,27,0.35,1368,
"January, 1972",10,-1.3,21.2,0.37,1691,
"December, 1971",16.6,6.3,26.8,0.53,1461,
"November, 1971",32.5,22.6,42.4,1.23,966,
"October, 1971",47.7,35.9,59.4,3.03,511,
"September, 1971",59,45.1,72.9,1.93,210,38
"August, 1971",73,56.8,89.3,1.51,16,243
"July, 1971",68.8,53.7,83.8,1.46,56,165
"June, 1971",68.8,56.6,80.9,3.48,56,185
"May, 1971",54.2,41.3,67.2,2.96,346,17
"April, 1971",46.5,33.2,59.8,3.03,557,
"March, 1971",30.2,19.7,40.6,0.46,1079,
"February, 1971",17.7,7.6,27.9,0.82,1294,
"January, 1971",9.7,0.2,19.2,0.51,1681,
"December, 1970",15.9,4.9,27,0.52,1492,
"November, 1970",30.2,21.5,39,1.55,1022,
"October, 1970",45,32.1,58,1.34,608,
"September, 1970",60.6,45.7,75.4,1.61,179,53
"August, 1970",72.8,57.8,87.9,1.19,16,246
"July, 1970",74,58.8,89.2,1.75,18,284
"June, 1970",68.3,54.6,82,2.67,63,162
"May, 1970",57.6,43.9,71.4,2.68,249,44
"April, 1970",41.2,30.1,52.3,3.62,686,
"March, 1970",25.4,15,35.7,1.14,1212,
"February, 1970",23.8,11.3,36.3,0.22,1152,
"January, 1970",8.9,-1.3,19.1,0.35,1740,
"December, 1969",21.8,12.2,31.4,0.68,1342,
"November, 1969",34.8,22.8,46.7,0.23,918,
"October, 1969",41.5,30.7,52.2,1.53,725,
"September, 1969",63.5,48.6,78.3,0.87,136,73
"August, 1969",74,59,89,1.22,13,258
"July, 1969",71.5,58.8,84.1,4.03,30,232
"June, 1969",60.5,47.9,73.1,3.19,184,52
"May, 1969",58.7,44.2,73.3,2.23,235,46
"April, 1969",48.7,35.5,61.9,1.15,507,1
"March, 1969",22.1,11.7,32.4,0.47,1343,
"February, 1969",19.3,10.8,27.9,1.2,1253,
"January, 1969",7.2,-2.4,16.8,0.73,1744,
"December, 1968",13.9,5.3,22.6,1.1,1544,
"November, 1968",32.6,23.2,42.1,0.56,968,
"October, 1968",49,34.9,63.2,1.2,495,
"September, 1968",59.4,45.2,73.5,1.87,206,37
"August, 1968",68.8,55,82.4,2.33,43,178
"July, 1968",70.9,57.6,84.2,2.2,35,215
"June, 1968",65.6,53.1,78.1,5.35,86,136
"May, 1968",51.7,38.8,64.5,1.89,416,10
"April, 1968",44.1,30.6,57.6,3.49,603,
"March, 1968",38.4,23.8,52.9,0.59,811,3
"February, 1968",20.2,9.6,30.8,0.17,1253,
"January, 1968",15.7,4.4,27,0.29,1509,
"December, 1967",18.9,8,29.8,0.6,1393,
"November, 1967",32,20.2,43.8,0.15,986,
"October, 1967",47.6,34.3,60.8,0.76,538,
"September, 1967",61,46.8,75.2,1.74,178,47
"August, 1967",69.4,53.7,85,1.19,42,159
"July, 1967",70.3,55.7,85,1.09,40,199
"June, 1967",62.9,52.1,73.7,6.16,136,87
"May, 1967",51.2,38.7,63.7,1.85,420,11
"April, 1967",44.6,32.1,57.2,2.5,591,
"March, 1967",34.1,22.7,45.5,0.35,925,
"February, 1967",18.4,5.9,31,0.55,1304,
"January, 1967",20.3,9.5,31.1,0.47,1395,
"December, 1966",21.4,11.2,31.6,0.34,1361,
"November, 1966",29.2,17.5,40.8,0.48,1040,
"October, 1966",47.6,33,62.3,1.32,532,
"September, 1966",59.7,46.6,72.8,1.89,203,36
"August, 1966",66.8,53.7,80,3.7,66,121
"July, 1966",77.1,63.2,91,3.16,5,376
"June, 1966",66.7,53.1,80.4,2.43,82,135
"May, 1966",55.4,39.9,70.9,0.99,318,21
"April, 1966",39.6,27.9,51.3,1.86,753,
"March, 1966",35.1,23.1,47.1,1.28,902,
"February, 1966",14.5,3.8,25.2,0.64,1372,
"January, 1966",6.5,-4.5,17.4,0.25,1779,
"December, 1965",27.3,17.3,37.4,0.55,1152,
"November, 1965",33,20.7,45.3,0.33,944,
"October, 1965",51.6,36.8,66.4,0.61,422,3
"September, 1965",49.6,38.9,60.3,3.23,450,3
"August, 1965",69.5,55.6,83.4,1.62,40,169
"July, 1965",71.8,58.9,84.8,2.21,31,229
"June, 1965",65,53.8,76.2,3.84,104,112
"May, 1965",56.6,43.5,69.8,5.34,270,40
"April, 1965",44.8,33.1,56.5,2.36,590,
"March, 1965",19.2,8.5,29.9,0.77,1400,
"February, 1965",18.1,5.2,30.9,0.31,1321,
"January, 1965",13.6,2.4,24.8,0.37,1575,
"December, 1964",12.9,2.6,23.2,0.6,1567,
"November, 1964",30.2,17.3,43.1,0.28,1011,
"October, 1964",48.6,33.1,64.2,0.11,506,
"September, 1964",58.4,43.6,73.2,0.95,221,33
"August, 1964",67.8,53.6,81.9,2.15,59,129
"July, 1964",75.6,61.4,89.7,2.3,11,339
"June, 1964",66,52.8,79.2,4.56,87,134
"May, 1964",59.1,45.8,72.4,2.44,224,56
"April, 1964",46,33.6,58.4,3.22,563,
"March, 1964",26.1,13.3,39,0.86,1210,
"February, 1964",25.2,13.7,36.8,0.24,1117,
"January, 1964",22.3,10.6,34.1,0.23,1323,
"December, 1963",15,4.5,25.4,0.34,1565,
"November, 1963",36.2,23,49.5,0.27,855,
"October, 1963",57.2,42.8,71.5,1.09,263,20
"September, 1963",63.9,51,76.7,2.11,124,83
"August, 1963",71.6,57.8,85.4,1.51,26,201
"July, 1963",73.8,60.7,87,4.26,19,283
"June, 1963",69,56.5,81.6,4.03,55,187
"May, 1963",56.4,43.3,69.5,2.13,285,30
"April, 1963",45.6,33.5,57.7,2.19,557,
"March, 1963",37.9,25.1,50.8,0.98,845,
"February, 1963",23.4,11.1,35.8,0.4,1173,
"January, 1963",7.6,-4.4,19.6,0.54,1773,
"December, 1962",23.4,11.8,35.1,0.18,1293,
"November, 1962",37.2,25.5,48.8,0.25,827,
"October, 1962",50.7,36.7,64.8,0.99,448,
"September, 1962",58.1,43.1,73.2,1.4,239,26
"August, 1962",70,55.4,84.4,1.77,35,174
"July, 1962",68.6,56.9,80.3,4.49,54,170
"June, 1962",64.5,53.9,75.2,4.84,112,101
"May, 1962",58.1,47,69.2,6.78,235,51
"April, 1962",46,31.8,60.2,1.15,581,
"March, 1962",24.1,14.8,33.4,1.12,1268,
"February, 1962",17.2,7.1,27.3,1.27,1330,
"January, 1962",13.8,2.5,25.1,0.34,1588,
"December, 1961",16,4.7,27.4,0.39,1521,
"November, 1961",31.8,19.5,44.1,0.25,990,
"October, 1961",48.8,34.6,63,1.24,493,
"September, 1961",56.2,42.9,69.6,2.23,271,21
"August, 1961",74,59,89.1,1.47,13,261
"July, 1961",71.4,56.8,86.1,2.33,33,218
"June, 1961",68.7,53.9,83.6,2.42,63,155
"May, 1961",53.9,41.7,66,3.53,357,15
"April, 1961",40.6,27.2,53.9,1.06,731,
"March, 1961",36.3,25.7,46.9,0.61,909,
"February, 1961",25.3,13.8,36.8,0.33,1119,
"January, 1961",18.1,7,29.2,0.12,1491,
"December, 1960",19,9,29,0.75,1405,
"November, 1960",33.3,20.2,46.4,0.7,927,
"October, 1960",49.3,34.3,64.4,0.36,486,
"September, 1960",61.6,47.2,76,1.31,162,56
"August, 1960",71.2,56.6,85.8,3.58,25,208
"July, 1960",74.3,59.2,89.5,1.12,17,278
"June, 1960",64,52.2,75.7,3.45,119,91
"May, 1960",55.8,41.6,70,3.08,305,25
"April, 1960",45.2,32.8,57.5,1.96,596,
"March, 1960",20.5,10.2,30.9,0.75,1399,
"February, 1960",14.4,5.2,23.6,0.62,1417,
"January, 1960",15.5,5.7,25.4,0.51,1543,
"December, 1959",28.5,19.6,37.4,0.46,1127,
"November, 1959",24.4,14,34.8,0.84,1211,
"October, 1959",42.6,30.2,55,1.22,684,
"September, 1959",58.9,45.5,72.4,2.71,210,37
"August, 1959",74.6,59,90.3,1.5,10,300
"July, 1959",72.8,57.1,88.5,1.61,25,251
"June, 1959",70.2,56,84.5,2.43,44,203
"May, 1959",55,42.4,67.5,3.78,310,28
"April, 1959",44,29.9,58,0.88,615,
"March, 1959",35,23.4,46.7,0.39,934,
"February, 1959",13.9,2.3,25.6,0.62,1403,
"January, 1959",12.5,1.3,23.6,0.27,1614,
"December, 1958",18.7,6.9,30.6,0.26,1432,
"November, 1958",33.1,20.8,45.4,0.77,938,
"October, 1958",49.8,34.3,65.3,0.26,454,3
"September, 1958",62.7,47.1,78.4,0.47,139,75
"August, 1958",72.8,56.8,88.7,0.97,17,248
"July, 1958",67.7,54.9,80.4,3.27,66,152
"June, 1958",61.9,49.8,74,3.16,148,72
"May, 1958",60.3,44.9,75.8,1.48,201,59
"April, 1958",44.2,32.1,56.2,2.54,621,
"March, 1958",27.9,19.8,36,0.55,1151,
"February, 1958",16.9,5.6,28.3,0.91,1333,
"January, 1958",24.3,12.2,36.3,0.24,1269,
"December, 1957",29,17,40.9,0.13,1119,
"November, 1957",32.3,23.1,41.6,0.99,980,
"October, 1957",46.6,37.1,56.2,1.73,566,
"September, 1957",57.6,43.9,71.4,1.62,244,25
"August, 1957",70.6,58.3,82.9,2.81,28,197
"July, 1957",75.1,61.5,88.7,2.37,13,329
"June, 1957",63.4,51.3,75.4,4.07,129,88
"May, 1957",54.1,43.5,64.7,5.03,352,17
"April, 1957",41.9,30.7,53.1,2.41,676,
"March, 1957",30.4,19.8,41,0.67,1070,
"February, 1957",22.2,10.2,34.2,0.33,1178,
"January, 1957",7.6,-3.5,18.7,0.23,1749,
"December, 1956",25.4,14.6,36.2,0.25,1218,
"November, 1956",31.7,21.6,41.7,1.39,999,
"October, 1956",52.7,36.6,68.8,0.88,364,8
"September, 1956",59.9,43.7,76,0.69,188,46
"August, 1956",69,55.5,82.4,3.28,42,168
"July, 1956",70.5,56.8,84.1,3.36,40,201
"June, 1956",72.4,57.4,87.5,2.06,29,256
"May, 1956",56.8,44.5,69.2,2.25,273,34
"April, 1956",38.9,25.6,52.2,1.23,770,
"March, 1956",29.3,17.8,40.9,0.81,1123,
"February, 1956",14.9,3.2,26.7,0.24,1396,
"January, 1956",13.2,3.6,22.8,0.54,1597,
"December, 1955",11.9,2,21.8,0.84,1618,
"November, 1955",21.7,10.2,33.2,0.38,1262,
"October, 1955",50,34.7,65.3,0.26,462,
"September, 1955",61.3,46.1,76.4,1.82,160,63
"August, 1955",75.1,60.3,89.8,1.94,7,322
"July, 1955",76.4,61.9,90.9,2.34,8,368
"June, 1955",63.3,51.6,75,3.09,131,88
"May, 1955",60.8,46.2,75.4,2.37,193,72
"April, 1955",51.6,36.5,66.8,1.31,397,11
"March, 1955",27.8,15.3,40.3,0.33,1146,
"February, 1955",14,3,25,0.9,1423,
"January, 1955",18.9,7.9,30,0.23,1427,
"December, 1954",25,15.3,34.8,0.16,1260,
"November, 1954",38.9,26.2,51.6,0.38,779,
"October, 1954",45.4,33.8,57,1.44,602,
"September, 1954",60.6,47.5,73.6,1.55,172,53
"August, 1954",70.5,56.8,84.2,2.18,30,188
"July, 1954",75.7,61,90.3,1.41,10,329
"June, 1954",64.6,52.6,76.7,4.2,98,118
"May, 1954",52.6,39.4,65.8,2.21,398,11
"April, 1954",45.3,30.9,59.7,1.16,559,
"March, 1954",26.3,15.7,36.8,1.53,1187,
"February, 1954",36.4,24,48.8,0.49,823,6
"January, 1954",11.6,-0.5,23.7,0.2,1639,
"December, 1953",23.5,13,34,0.62,1324,
"November, 1953",37.1,25.4,48.8,0.67,837,
"October, 1953",53.8,38.2,69.3,0.84,351,8
"September, 1953",61.1,44.7,77.4,0.47,167,55
"August, 1953",71.3,58.3,84.3,2.71,24,216
"July, 1953",71.3,58.1,84.4,2.31,28,231
"June, 1953",67.2,55.4,79,4.91,66,159
"May, 1953",53.5,41.5,65.3,2.65,359,19
"April, 1953",38.6,27.8,49.5,3.48,783,
"March, 1953",32,21.1,42.9,1.26,998,
"February, 1953",22.1,12.6,31.6,1.14,1199,
"January, 1953",21.6,11,32.2,0.62,1358,
"December, 1952",22.7,12.4,33.1,0.23,1313,
"November, 1952",31.6,19.6,43.5,0.7,991,
"October, 1952",45.7,29.4,62,0.03,599,
"September, 1952",64.4,47.9,80.9,0.33,118,88
"August, 1952",70.2,56.1,84.3,2.02,32,180
"July, 1952",72.2,57,87.5,1.57,26,253
"June, 1952",69.4,55.4,83.3,3.42,49,191
"May, 1952",56.4,43.2,69.5,2.46,293,27
"April, 1952",47.7,33.7,61.7,0.37,529,
"March, 1952",21.9,13.7,30.2,0.87,1284,
"February, 1952",23,13.8,32.1,1,1141,
"January, 1952",11.6,0.7,22.6,0.71,1601,
"December, 1951",11,1,21.2,1.33,1633,
"November, 1951",28.1,16.3,39.8,0.21,1107,
"October, 1951",45.1,33.4,56.7,2.05,601,
"September, 1951",55,42.4,67.6,1.69,317,12
"August, 1951",67.7,55.4,80,3.58,56,133
"July, 1951",70,57.4,82.6,2.38,44,185
"June, 1951",59.3,47.8,70.8,4.52,207,43
"May, 1951",56.6,43.8,69.4,2.81,288,29
"April, 1951",40.9,28.7,53,1.16,732,
"March, 1951",19.5,8.5,30.6,1.07,1378,
"February, 1951",23.6,9.9,37.2,0.66,1142,
"January, 1951",13.6,2.3,25,0.2,1578,
"December, 1950",19.3,8.3,30.4,0.2,1420,
"November, 1950",28.4,16.2,40.5,0.36,1080,
"October, 1950",51,36.5,65.6,0.91,431,3
"September, 1950",59.4,46.3,72.4,2.68,204,38
"August, 1950",66.8,52.5,81.2,2.31,70,115
"July, 1950",67.8,54.3,81.4,2.43,70,140
"June, 1950",65.4,50.5,80.2,1.38,99,115
"May, 1950",51.9,39.7,64.1,2.96,408,12
"April, 1950",37,26.4,47.7,1.24,827,
"March, 1950",23.2,13,33.4,1.84,1272,
"February, 1950",18.6,7.2,30.1,0.56,1263,
"January, 1950",2.1,-9.4,13.6,0.55,1873,
"December, 1949",17.4,5.5,29.2,0.69,1421,
"November, 1949",40.8,27.5,54.2,0.22,733,
"October, 1949",46.8,34.6,59,2.12,541,
"September, 1949",57.5,42.3,72.7,1.54,256,21
"August, 1949",73.4,58.2,88.6,1.88,16,252
"July, 1949",74.7,59.3,90.1,2.19,15,306
"June, 1949",67.2,53.1,81.4,2.08,76,150
"May, 1949",59.4,45.6,73.2,2.56,219,57
"April, 1949",48.4,33.2,63.6,1.22,517,
"March, 1949",29,19.2,38.8,1.17,1097,
"February, 1949",12,-0.2,24.3,0.15,1443,
"January, 1949",6.1,-4.1,16.3,1.19,1776,
"December, 1948",18.3,7.2,29.4,0.29,1440,
"November, 1948",31.8,22.1,41.4,0.9,997,
"October, 1948",48,32.7,63.2,1.1,524,
"September, 1948",65.8,50.5,81.1,0.97,95,111
"August, 1948",71.3,57,85.5,2,25,208
"July, 1948",72.2,58.9,85.5,3.53,27,246
"June, 1948",63.9,52.4,75.4,4.94,123,89
"May, 1948",56.5,43.4,69.6,1.78,292,28
"April, 1948",49.1,34.9,63.3,2.42,467,5
"March, 1948",26.4,15.4,37.4,0.41,1171,
"February, 1948",15.3,4,26.7,0.66,1365,
"January, 1948",15.3,3.4,27.2,0.29,1552,
"December, 1947",20.9,10.8,31,0.16,1384,
"November, 1947",25.5,16.6,34.4,1.69,1167,
"October, 1947",54.7,40.4,69.1,1.77,318,12
"September, 1947",61.6,46.4,76.7,1.17,157,63
"August, 1947",76.1,61,91.2,1.12,4,347
"July, 1947",72.6,58.2,86.9,1.01,25,239
"June, 1947",61.9,50.3,73.5,6.13,159,67
"May, 1947",52.8,38.8,66.8,1.3,392,11
"April, 1947",42.1,30.6,53.6,2.22,696,
"March, 1947",26.7,17,36.4,0.64,1161,
"February, 1947",15.7,4.4,26.9,0.23,1374,
"January, 1947",22.6,11.9,33.3,0.51,1303,
"December, 1946",22.5,11.9,33.2,0.39,1296,
"November, 1946",30.4,19,41.7,0.72,1041,
"October, 1946",43.7,32.6,54.7,3.07,624,
"September, 1946",59.2,45.9,72.5,4.01,213,34
"August, 1946",67.7,53.6,81.8,1.78,59,129
"July, 1946",73.5,59.7,87.3,2.04,20,264
"June, 1946",66.1,52.7,79.4,4.29,88,127
"May, 1946",52.2,39.5,65,3.96,403,11
"April, 1946",51.8,36.9,66.8,1.29,409,8
"March, 1946",40.8,28.3,53.3,2.01,765,4
"February, 1946",23.4,9.8,36.9,0.54,1170,
"January, 1946",20.6,7.2,34,0.1,1398,
"December, 1945",14.1,4.3,23.8,0.51,1583,
"November, 1945",30.6,18.4,42.9,0.28,1014,
"October, 1945",49,33.1,65,0.23,487,
"September, 1945",58.4,44.3,72.5,1.88,232,31
"August, 1945",70.5,56.1,84.8,1.98,33,183
"July, 1945",71.2,56.8,85.6,2.13,34,211
"June, 1945",58.6,48.2,69,3.88,218,36
"May, 1945",51.6,37.9,65.3,2.62,421,9
"April, 1945",41.9,28.9,55,1.21,690,
"March, 1945",36.9,24,49.9,1.25,857,
"February, 1945",21.4,10.4,32.3,0.62,1199,
"January, 1945",19.8,10.4,29.2,0.49,1394,
"December, 1944",20.1,9.7,30.6,0.19,1381,
"November, 1944",31.4,22.8,39.9,1.81,967,
"October, 1944",50,33.8,66.2,0.6,466,
"September, 1944",59.5,45,74,0.88,204,38
"August, 1944",69.4,56.2,82.5,3.6,41,163
"July, 1944",70.1,56.7,83.6,3.64,41,197
"June, 1944",64.3,52.4,76.2,5.23,113,108
"May, 1944",60.5,47.4,73.5,3.36,207,63
"April, 1944",41.4,30.4,52.4,1.9,714,
"March, 1944",22.3,13,31.6,0.84,1281,
"February, 1944",16.9,5,28.7,0.68,1300,
"January, 1944",24.8,12.6,36.9,1.16,1237,
"December, 1943",24.7,11.7,37.6,0.09,1249,
"November, 1943",31.5,22,41,0.45,1000,
"October, 1943",49.8,34.3,65.4,1.71,477,
"September, 1943",59,43.7,74.3,0.69,220,31
"August, 1943",72.7,58,87.4,2.15,16,246
"July, 1943",74.2,59.4,88.9,2.06,17,297
"June, 1943",64.9,53,76.7,5.16,103,117
"May, 1943",53,39,67,2.29,382,14
"April, 1943",49.1,34.1,64,0.79,499,1
"March, 1943",24.4,11.2,37.5,0.76,1244,
"February, 1943",24.9,12.2,37.7,0.42,1110,
"January, 1943",7.7,-3.8,19.1,0.65,1723,
"December, 1942",19.1,8.8,29.4,0.29,1424,
"November, 1942",33,20.3,45.8,0.32,945,
"October, 1942",48.4,34.5,62.2,0.69,523,
"September, 1942",56.4,43.1,69.6,2.02,287,16
"August, 1942",70.1,56.6,83.7,2.17,33,188
"July, 1942",71.1,58,84.2,2.48,32,224
"June, 1942",63.4,52.6,74.1,4.22,125,95
"May, 1942",51.8,41.1,62.6,5.82,404,12
"April, 1942",49.6,36,63.2,3.1,459,5
"March, 1942",32.5,23.1,41.9,1.91,1000,
"February, 1942",19.7,9.6,29.9,0.47,1260,
"January, 1942",21.6,9.6,33.7,0.05,1352,
"December, 1941",26.6,15.9,37.3,0.31,1184,
"November, 1941",34.8,23.5,46.1,0.19,901,
"October, 1941",47.2,35.4,58.9,2.19,535,
"September, 1941",60.4,47.4,73.3,2.82,180,56
"August, 1941",72.7,58.7,86.8,1.92,18,251
"July, 1941",74.3,60.2,88.5,1.73,18,293
"June, 1941",65.8,54.4,77.3,5.05,93,122
"May, 1941",61.9,48.1,75.7,1.83,176,79
"April, 1941",47.3,36.8,57.8,3.8,529,2
"March, 1941",29.7,19.4,39.9,0.54,1097,
"February, 1941",19.6,8.7,30.6,0.25,1275,
"January, 1941",17.6,8,27.4,0.53,1448,
"December, 1940",24.9,15.2,34.6,0.39,1255,
"November, 1940",26.6,16.5,36.7,0.69,1144,
"October, 1940",53.8,39.3,68.4,1.03,348,8
"September, 1940",66.1,51.5,80.7,0.69,91,118
"August, 1940",70.1,56.3,83.9,2.24,35,172
"July, 1940",76.8,62,91.5,1.94,7,360
"June, 1940",67.1,53,81.2,2.87,76,139
"May, 1940",56.6,41.6,71.5,0.58,293,26
"April, 1940",42.1,31.2,53,2.59,673,
"March, 1940",28.6,20.6,36.7,1.78,1131,
"February, 1940",19.4,10.4,28.3,0.6,1258,
"January, 1940",5.6,-4.7,15.8,0.2,1831,
"December, 1939",29.8,17.9,41.7,0.32,1088,
"November, 1939",37.2,22.5,52,0.01,838,
"October, 1939",47.3,33.8,60.8,1.15,538,
"September, 1939",64.3,47.7,80.9,1.01,110,101
"August, 1939",70.8,55.2,86.4,1.85,31,191
"July, 1939",76.6,61.5,91.7,1.87,8,353
"June, 1939",65.4,52.7,78.1,4.13,93,129
"May, 1939",63.3,48.5,78,2.36,151,99
"April, 1939",45.1,31.1,59.1,0.96,606,
"March, 1939",32.6,19.7,45.6,0.32,998,
"February, 1939",9.7,-2.3,21.7,0.68,1523,
"January, 1939",24.1,14,34.3,0.96,1266,
"December, 1938",23.6,12.7,34.6,0.2,1282,
"November, 1938",29,17.7,40.4,0.51,1066,
"October, 1938",54.4,40,68.9,0.16,326,11
"September, 1938",64.2,50,78.4,2.2,118,89
"August, 1938",74.8,58.7,90.9,1.17,8,308
"July, 1938",73.9,59.6,88.2,2,19,288
"June, 1938",67.6,54.2,81,2.63,74,142
"May, 1938",54.4,42.9,65.9,3.54,350,17
"April, 1938",46.3,33.4,59.2,2.51,562,
"March, 1938",36.5,25.2,47.7,1.28,879,
"February, 1938",17.3,5.9,28.7,0.58,1311,
"January, 1938",17.5,7.8,27.2,0.45,1487,
"December, 1937",18.1,7.5,28.7,0.54,1445,
"November, 1937",29.5,19,40,0.28,1052,
"October, 1937",47.3,33.9,60.7,0.49,559,
"September, 1937",62.9,48.2,77.6,0.9,138,73
"August, 1937",77.1,61.8,92.4,1.64,3,366
"July, 1937",75.3,60.9,89.7,2.73,14,323
"June, 1937",64.6,52.3,76.9,3.53,116,98
"May, 1937",59,45.7,72.4,2.23,235,45
"April, 1937",42.7,31.5,53.9,1.74,677,
"March, 1937",29,18.3,39.6,1.49,1114,
"February, 1937",14.6,3.4,25.9,0.36,1394,
"January, 1937",-1,-10.9,8.9,0.85,2003,
"December, 1936",20.7,11.6,29.9,0.37,1347,
"November, 1936",30.6,20.1,41.1,0.88,1028,
"October, 1936",45.9,30.7,61.1,0.38,588,
"September, 1936",64.2,49,79.5,0.76,115,96
"August, 1936",75.2,59.9,90.5,1.67,7,326
"July, 1936",83.3,66.2,100.5,0.58,1,546
"June, 1936",70.8,55.4,86.1,1.29,48,183
"May, 1936",62.3,47.9,76.6,1.5,170,78
"April, 1936",40.6,27.3,53.8,1.28,729,
"March, 1936",32,21.3,42.8,0.75,1017,
"February, 1936",-5.2,-15.5,5.1,0.75,1932,
"January, 1936",4.1,-6.6,14.7,0.69,1880,
"December, 1935",20.2,10.7,29.7,0.56,1388,
"November, 1935",26.7,16,37.4,0.47,1132,
