Month,Avg. Temp,Min. Temp,Max. Temp,Precipitation,Heating Degrees Days,Cooling Degrees Days
"September, 2013",65.8,52.2,79.5,1.91,92,116
"August, 2013",71.6,59.4,83.8,2.41,22,212
"July, 2013",71.8,59.1,84.5,2.47,29,225
"June, 2013",65.3,53.4,77.2,3.12,98,113
"May, 2013",55.9,43.2,68.5,4.82,308,23
"April, 2013",36.9,25.5,48.3,2.33,837,
"March, 2013",28.1,16.3,40,0.67,1156,
"February, 2013",23.8,13.7,33.8,0.7,1185,
"January, 2013",19.4,9.2,29.6,0.45,1403,
"December, 2012",21.4,11.4,31.3,0.63,1332,
"November, 2012",34.9,22.9,46.8,0.32,892,
"October, 2012",45.6,32.9,58.3,0.83,599,
"September, 2012",62.6,45.4,79.8,0.2,145,68
"August, 2012",71,55.3,86.6,1.12,25,210
"July, 2012",78.7,64.4,93.1,1.54,3,433
"June, 2012",70.4,56.5,84.4,2.18,39,208
"May, 2012",58.3,44.9,71.8,2.79,233,51
"April, 2012",50.2,36.8,63.5,3.06,441,6
"March, 2012",47,32.4,61.6,0.37,558,19
"February, 2012",25.7,13.9,37.6,1.13,1089,
"January, 2012",25.4,13.5,37.3,0.41,1232,
"December, 2011",26.8,15.9,37.7,0.26,1177,
"November, 2011",34.4,21.4,47.4,0.24,902,
"October, 2011",51.3,38,64.6,1.11,421,3
"September, 2011",59.9,45,74.8,0.63,198,37
"August, 2011",71.6,58.5,84.7,2.32,22,213
"July, 2011",75.9,64.1,87.7,3.15,8,359
"June, 2011",64.7,53,76.3,4.52,103,111
"May, 2011",53,42.2,63.8,4.5,365,18
"April, 2011",43.1,32.7,53.4,2.29,649,
"March, 2011",27.3,18.2,36.4,1.05,1121,
"February, 2011",16.3,6,26.6,1.13,1334,
"January, 2011",13,3.3,22.6,0.93,1613,
"December, 2010",17.7,8.6,26.7,0.95,1443,
"November, 2010",32.1,21.2,43,0.33,960,
"October, 2010",51.6,38,65.2,1,415,3
"September, 2010",59.1,46.1,72.2,3.26,204,36
"August, 2010",73.6,60,87.1,2.02,14,270
"July, 2010",72.4,59.8,85,3.73,26,252
"June, 2010",65.9,54.7,77.1,4.92,89,129
"May, 2010",54.2,43.1,65.4,3.69,337,22
"April, 2010",49.3,36.9,61.8,2.38,459,7
"March, 2010",36.3,27.1,45.5,1.19,872,
"February, 2010",14.6,5.2,24,0.6,1387,
"January, 2010",14.8,6.5,23.1,0.61,1552,
"December, 2009",13.5,5.3,21.8,1.15,1567,
"November, 2009",40,27,52.9,0.11,743,
"October, 2009",39.5,31.4,47.6,3.94,775,
"September, 2009",63,50,75.9,1.3,144,68
"August, 2009",67.4,54.2,80.5,2.87,60,127
"July, 2009",67.9,55.4,80.4,3.45,66,145
"June, 2009",63.2,51.8,74.6,3.49,128,92
"May, 2009",55.8,41.8,69.9,1.27,296,28
"April, 2009",42.3,31,53.6,1.86,667,
"March, 2009",30,18.3,41.7,1.75,1037,
"February, 2009",23.4,13,33.9,1,1137,
"January, 2009",16.7,5.6,27.8,0.4,1504,
"December, 2008",14.1,3.5,24.8,0.71,1557,
"November, 2008",34.2,24.6,43.8,1.15,914,
"October, 2008",47.2,35,59.3,2.86,541,
"September, 2008",60.3,46.3,74.3,2.11,181,51
"August, 2008",71.2,57.9,84.5,1.56,27,201
"July, 2008",72.7,59.3,86,2.96,22,258
"June, 2008",63.8,51.6,75.9,5.04,118,99
"May, 2008",53,40.9,65.1,4.06,376,14
"April, 2008",42.1,28.6,55.7,1.72,692,
"March, 2008",32.2,20.4,44.1,0.9,1038,
"February, 2008",19.1,7.2,30.9,0.38,1303,
"January, 2008",16.2,4.6,27.9,0.23,1517,
"December, 2007",19.4,9,29.7,0.61,1428,
"November, 2007",34.9,22.6,47.2,0.05,897,
"October, 2007",50.2,37.8,62.6,2.68,439,3
"September, 2007",62.6,48.3,76.8,1.49,143,70
"August, 2007",71.4,59.4,83.3,4,23,218
"July, 2007",76.5,62.6,90.4,0.93,10,333
"June, 2007",68.2,55.8,80.6,3.22,61,162
